,image,MSE,PSNR,SSIM
0,he84022,726.3683268229166,19.420712122913617,0.5514729
1,he84023,383.2886555989583,22.541958311482823,0.53243357
2,he84024,417.2671305338542,21.847382419927595,0.5564613
3,he84025,410.7794189453125,21.957561952431426,0.5201774
4,he84027,403.8082682291667,21.941298168176782,0.5258915
5,he84028,467.2197265625,21.374159201563163,0.52509785
6,he84029,602.3599446614584,20.194709619625407,0.54312575
7,he84053,197.05192057291666,24.839860239718625,0.60489947
8,he84054,129.26409912109375,26.90459311066313,0.59711844
9,he84063,575.8048502604166,20.470698474433945,0.585105
10,he84064,446.5186360677083,21.57747006770831,0.57773304
11,he84065,403.6433919270833,22.191365743055798,0.54469615
12,he84066,280.9263102213542,23.797701799675146,0.54338247
13,he84067,312.71754964192706,23.124167968591863,0.5455014
14,he84068,286.97532145182294,23.491594991927425,0.583196
15,he84071,604.4047444661459,20.375520863872985,0.53898895
16,he84092,352.9412841796875,22.46666751014367,0.5762539
17,he84093,217.601318359375,25.006534147267768,0.58255535
18,he84094,379.2327880859375,22.492501142905166,0.64281315
19,he84095,274.3582356770833,23.719417061911233,0.5981557
20,he84096,107.72812906901042,27.923545228747948,0.6033774
21,he84104,456.1387939453125,21.313398872903228,0.5905575
22,he84105,661.9200846354166,19.896096739697263,0.5675544
23,he84106,384.2723795572917,22.396455972256618,0.6048191
24,he84107,266.047607421875,23.97572507579474,0.5909584
25,he84108,280.83404541015625,23.6118121398775,0.5764651
26,he84109,405.1050618489583,21.899741384143287,0.5617746
27,he84110,320.6045735677083,22.938699600295198,0.57984537
28,he84111,443.7523600260417,21.69796821401476,0.57926345
29,he84112,364.8326416015625,22.6557956229053,0.56118566
30,he84113,618.6767578125,20.22102179971606,0.5748003
31,he84136,265.16184488932294,23.813077924089182,0.65169066
32,he84137,218.55623372395834,25.085923838970142,0.5924534
33,he84147,488.6476236979167,21.138487294550217,0.6242569
34,he84148,180.69171142578125,25.844563149338228,0.59823686
35,he84150,196.54266357421875,24.960678806667204,0.56472707
36,he84152,529.5976969401041,20.88518407440576,0.5945105
37,he84153,621.357666015625,20.16179510201291,0.575784
38,he84154,510.8679606119792,21.15935285213776,0.5299825
39,he8415,552.6248372395834,20.669917078339537,0.2763585
40,he8416,431.8938802083333,22.0161280303604,0.4100045
41,he8417,530.48291015625,21.010383875316762,0.46793213
42,he84189,290.9562581380208,23.733382029099968,0.53458166
43,he8418,482.6230875651042,21.330968334316367,0.47009507
44,he84192,159.0399169921875,26.13280689221613,0.58427435
45,he84193,328.8940022786458,22.87397356948336,0.55852866
46,he84194,547.3769938151041,20.844737189824944,0.56484145
47,he84195,481.42041015625,21.170693968267493,0.54838246
48,he84196,485.6409098307292,21.243148060315058,0.53644294
49,he8419,659.5103352864584,19.748330168138118,0.4257176
50,he8420,529.3094075520834,20.898170466523606,0.5687859
51,he8421,496.1507161458333,21.195281318874507,0.5424743
52,he84230,379.9325764973958,22.316397743933138,0.5825984
53,he84231,573.0155436197916,20.36617585757288,0.599747
54,he84232,403.4949544270833,22.103571351499454,0.5246124
55,he84236,338.99074300130206,22.769119577458817,0.5665865
56,he84237,378.7305501302083,22.182732680261218,0.51080734
57,he84238,536.239501953125,20.839659675113104,0.5435671
58,he84271,285.8723551432292,23.271997902217446,0.5921943
59,he84272,307.77781168619794,23.284222133813852,0.59999555
60,he84273,685.6270345052084,19.817650156475338,0.5932685
61,he84274,307.1553955078125,23.566625212399988,0.5706349
