,image,MSE,PSNR,SSIM
0,he84022,496.8707682291667,21.026999666066036,0.6344962
1,he84023,228.46468098958334,25.006132009030605,0.6471296
2,he84024,249.92218017578125,24.111608725279908,0.6520435
3,he84025,224.13859049479166,24.77032386624483,0.63774717
4,he84027,236.8230183919271,24.297378367058627,0.64420897
5,he84028,279.75946044921875,23.657148653311637,0.6381323
6,he84029,420.3780517578125,21.73850569062821,0.64044887
7,he84053,113.54294840494792,27.242149352688543,0.68060446
8,he84054,72.17218526204427,29.658331773328147,0.6740882
9,he84063,372.449951171875,22.37015842808689,0.66959685
10,he84064,304.9881184895833,23.237872162130607,0.6573004
11,he84065,258.37339274088544,24.318338936024453,0.6491208
12,he84066,161.0513712565104,26.220313796723183,0.64989257
13,he84067,137.35201009114584,26.84148434241777,0.66529053
14,he84068,162.32830810546875,26.084544263374614,0.68398094
15,he84071,390.6796061197917,22.302888679860146,0.6442368
16,he84092,225.34847005208334,24.47359272025779,0.6618467
17,he84093,116.01902262369792,28.079665602979308,0.68991333
18,he84094,257.41086832682294,24.136488626281274,0.70303696
19,he84095,167.0686238606771,25.99201501811036,0.6630792
20,he84096,50.780131022135414,31.348022805006785,0.6694762
21,he84104,280.19683837890625,23.47030076620554,0.67609406
22,he84105,415.8390706380208,21.980957505362476,0.6593703
23,he84106,254.67598470052084,24.29450283810407,0.68115234
24,he84107,183.1311238606771,25.740707246323122,0.6602122
25,he84108,175.4466349283854,25.69518504491047,0.65257365
26,he84109,223.5351765950521,24.405727533183793,0.6638971
27,he84110,207.01664225260416,24.88091139896052,0.6593647
28,he84111,259.27581787109375,24.30639546892611,0.6817217
29,he84112,210.0849405924479,25.286993051050167,0.6735464
30,he84113,390.3464762369792,22.398945065462318,0.6817792
31,he84136,193.4955851236979,25.26778363645821,0.7277438
32,he84137,104.17379760742188,28.764462480616455,0.7025377
33,he84147,327.22869873046875,22.94527264345026,0.7007163
34,he84148,111.7000020345052,28.112509461129612,0.68126446
35,he84150,103.17252604166667,27.80527737890866,0.67648107
36,he84152,348.2118326822917,22.764616262354632,0.6753722
37,he84153,395.7591145833333,22.211483049932905,0.6639001
38,he84154,330.3465169270833,23.12791159623786,0.6337516
39,he8415,459.8894449869792,21.493703219161798,0.3217641
40,he8416,326.3697509765625,23.26028164028797,0.47423112
41,he8417,373.6322428385417,22.61913732744648,0.55126214
42,he84189,155.2743937174479,26.5413156211816,0.64066225
43,he8418,349.0592041015625,22.802095910823535,0.54507136
44,he84192,99.45269775390625,28.36919794520786,0.67208433
45,he84193,204.95306396484375,25.033017977916895,0.6331018
46,he84194,345.208984375,22.899360413297202,0.66748565
47,he84195,285.5520426432292,23.51928114044171,0.6562738
48,he84196,281.4306640625,23.811238284901016,0.6530176
49,he8419,498.87158203125,20.987888284845386,0.48751247
50,he8420,341.5354817708333,22.883354660207825,0.6568766
51,he8421,292.7878824869792,23.591396403892997,0.6384198
52,he84230,223.915771484375,24.76253010082739,0.6817544
53,he84231,379.9228922526042,22.14230634176831,0.67651886
54,he84232,236.690673828125,24.55104417977005,0.6264121
55,he84236,209.9022216796875,24.92780100112928,0.64809674
56,he84237,209.7712198893229,24.876512554980827,0.6289688
57,he84238,341.8321126302083,22.803533061716085,0.64017934
58,he84271,181.97088623046875,25.220703600175447,0.68016344
59,he84272,194.72017415364584,25.35109183483439,0.6854599
60,he84273,465.99365234375,21.58755027828527,0.6799008
61,he84274,152.18919881184897,26.856810167264516,0.6887726
62,he84279,220.03377278645834,24.60735501582695,0.6453497
63,he84280,228.6427001953125,24.295326415575317,0.61241513
