,image,MSE,PSNR,SSIM
0,he84022,643.5472412109375,19.94866552786045,0.5668444
1,he84023,274.8090413411458,24.23557738341449,0.57909185
2,he84024,314.25439453125,23.11531116803649,0.59687567
3,he84025,274.66908772786456,23.867954627341575,0.576699
4,he84027,289.41131591796875,23.448654515588476,0.5716176
5,he84028,344.6753743489583,22.72843594892354,0.57092416
6,he84029,484.2661946614583,21.19599881073762,0.5788272
7,he84053,128.17745971679688,26.712101203513225,0.6429736
8,he84054,85.71535237630208,28.898749581583502,0.637986
9,he84063,455.4013264973958,21.49627731429163,0.6180825
10,he84064,364.115234375,22.430561180055,0.60339475
11,he84065,311.3533121744792,23.46749187234196,0.58392197
12,he84066,212.9219767252604,25.062803361228845,0.582771
13,he84067,177.31620279947916,25.71015345851888,0.60713446
14,he84068,202.01298014322916,25.102257677106188,0.61685514
15,he84071,474.0826416015625,21.44558914398642,0.57221705
16,he84092,253.7257283528646,23.957645966943304,0.61879593
17,he84093,132.2064005533854,27.483825017480047,0.6328935
18,he84094,304.2200520833333,23.43294737698527,0.66631055
19,he84095,208.19612630208334,24.975643333619914,0.6331736
20,he84096,60.116597493489586,30.705904130941516,0.6370087
21,he84104,334.68914794921875,22.72100494749342,0.62495923
22,he84105,509.2120768229167,21.144742676952415,0.6047614
23,he84106,314.37058512369794,23.36131172162569,0.62901115
24,he84107,231.0940958658854,24.65698585075504,0.61930877
25,he84108,224.1407674153646,24.63953778877631,0.6068578
26,he84109,267.4136149088542,23.67195357244605,0.61269933
27,he84110,244.3963623046875,24.178710794160274,0.6079713
28,he84111,310.12685139973956,23.37394456403384,0.6309901
29,he84112,270.8095296223958,24.10079531619951,0.6112142
30,he84113,468.6641031901042,21.5260033473907,0.617963
31,he84136,216.71697998046875,24.770954514453443,0.6675668
32,he84137,121.8250732421875,28.125839323166637,0.6556553
33,he84147,415.1116536458333,21.932175370876422,0.64786786
34,he84148,139.76038614908853,27.231966658601078,0.6284778
35,he84150,131.00021362304688,26.739589277193204,0.6031677
36,he84152,416.9989013671875,21.96339375033887,0.63205034
37,he84153,471.9418538411458,21.442933520561912,0.6208196
38,he84154,406.84326171875,22.22658656008037,0.5685256
39,he8415,491.840087890625,21.202642781768944,0.29234484
40,he8416,352.4203694661458,22.936406593462138,0.43549252
41,he8417,430.3909505208333,22.015281197603727,0.5003305
42,he84189,190.524658203125,25.689472790224475,0.5793598
43,he8418,383.1459554036458,22.3620732837767,0.50142926
44,he84192,113.91859944661458,27.766687670884803,0.6153137
45,he84193,244.85221354166666,24.231649039820738,0.5934169
46,he84194,421.6719563802083,22.12848805269575,0.6136329
47,he84195,348.8558349609375,22.660878722740144,0.5961798
48,he84196,332.18678792317706,23.034792640952553,0.5937268
49,he8419,541.2632649739584,20.623277726613182,0.44626188
50,he8420,422.247314453125,21.888067020952626,0.5966185
51,he8421,376.05859375,22.48963061181856,0.57658035
52,he84230,257.9770100911458,24.08198876460684,0.636013
53,he84231,491.2635091145833,21.034185078838306,0.6136446
54,he84232,293.4565022786458,23.55800743493235,0.5664652
55,he84236,247.5987548828125,24.208848392563773,0.60588497
56,he84237,262.7734375,23.897487219998933,0.5677385
57,he84238,390.5635986328125,22.234040948934037,0.59280103
58,he84271,206.11600748697916,24.68999688897947,0.6223113
59,he84272,229.08646647135416,24.643634939727832,0.6353155
60,he84273,608.1785074869791,20.37893123756139,0.60892814
61,he84274,193.631103515625,25.59970885214854,0.6200927
62,he84279,282.7030843098958,23.536309507186548,0.5712697
63,he84280,274.1051025390625,23.511155151183665,0.56491953
64,he84313,186.34322102864584,25.36675817492029,0.5770593
65,he84315,483.5071614583333,21.047533874114226,0.5642778
66,he84316,365.7561442057292,22.404294839074794,0.571677
67,he84317,329.13254801432294,22.759147186215714,0.6021762
68,he84319,354.2808024088542,22.704662076711962,0.5564843
69,he84359,122.781494140625,27.034227937655153,0.61980706
70,he84360,432.1220703125,21.597141323557135,0.58673525
71,he8473,292.81671142578125,23.352082314425196,0.41437256
72,he8474,423.5360921223958,21.921508947594678,0.3954142
73,he8475,552.8522542317709,20.584997290083294,0.44142225
74,he8476,469.6828206380208,21.484769143065094,0.46470514
75,he8477,392.0990804036458,22.291991296204277,0.5052235
76,he8478,358.8975423177083,22.520476174388676,0.49606887
77,he852,26.701639811197918,34.33652513425649,0.58020115
78,he8533,468.790283203125,21.467661453224018,0.46536592
79,he8534,345.874267578125,22.843454456988333,0.45099545
80,he8535,304.3567708333333,23.280300596429978,0.43645212
81,he856,120.21868896484375,27.15201952845035,0.650109
82,he857,52.84976704915365,31.760280682117752,0.66060203
83,he858,153.40253702799478,26.357863244716565,0.5782699
84,he88732,163.56561279296875,25.839134341687142,0.56196195
85,he88733,219.8008015950521,24.78989640496436,0.46261644
86,he88734,137.1826171875,27.073182745419082,0.49781922
87,he88735,206.1959025065104,25.06628990509496,0.55776477
88,he88752,407.518310546875,21.81300334147705,0.6829753
89,he88753,379.1190592447917,22.042999062900005,0.6541782
90,he88754,337.0975341796875,23.032395491905206,0.6322709
91,he88755,371.933837890625,22.520353087390923,0.638246
92,he88756,278.86789957682294,23.412718425353354,0.6553326
93,he88761,275.77557373046875,23.7641252554317,0.65611786
94,he88762,45.95199076334635,31.40857210889743,0.65721583
95,he88764,252.61393229166666,24.074404617063564,0.6413515
96,he88765,318.4582112630208,23.147606769056335,0.64044166
97,he88766,261.3848876953125,24.17556248598187,0.67031646
98,he88767,120.08758544921875,27.10890601733218,0.6659673
99,he88768,74.87674967447917,29.201217348406292,0.7059477
100,he88769,36.385823567708336,32.87038474528985,0.74705577
101,he88785,225.59501139322916,24.610985194036846,0.4954636
102,he88786,198.39750162760416,25.216460468250233,0.51494706
103,he88787,182.92401123046875,25.66669936082438,0.5252579
104,he88788,226.140380859375,24.490282512541178,0.4857464
105,he88790,241.4053955078125,24.326928818299383,0.54493135
106,he887,20.779022216796875,35.37280040458423,0.69744855
107,he88806,324.4877522786458,22.812967565484,0.6334291
108,he88807,272.0793863932292,23.675150651124383,0.6388735
109,he88809,344.4579671223958,22.679874318402927,0.6552325
110,he88816,47.455342610677086,32.07126036041935,0.656975
111,he88817,210.38020833333334,24.755899927793273,0.65467113
112,he88822,76.35511271158855,29.13198802623843,0.64178777
113,he88823,40.7519276936849,32.00616244078718,0.67426515
114,he88824,44.29126993815104,31.64027470739311,0.7330787
115,he88830,206.02286783854166,24.884757298278778,0.56332994
116,he88831,255.29402669270834,24.113902567635193,0.6069545
117,he88838,202.67061360677084,24.914476821850855,0.5038395
118,he88841,213.31148274739584,24.582739996651583,0.5301835
119,he88842,183.65283203125,25.665027990101542,0.5646661
120,he88843,153.81937662760416,26.20916777600104,0.5622846
121,he88844,198.70048014322916,25.366354922005854,0.51022327
122,he88861,276.60788981119794,23.769735476656855,0.624859
123,he88862,214.52339680989584,24.841820917620865,0.60946923
124,he88870,113.24169921875,27.69446768344926,0.6612453
125,he88871,137.3896484375,26.74907905028542,0.64463145
126,he88872,32.38248189290365,33.227856368039596,0.6863876
127,he88875,38.779215494791664,32.29569875469635,0.60910106
128,he88876,39.68844095865885,32.00609774186881,0.6763208
129,he88884,230.11187744140625,24.272697133406687,0.6081697
130,he88885,283.8133138020833,23.31451784145239,0.5921034
131,he88892,218.13077799479166,24.773890388973193,0.5037183
132,he88893,293.31545003255206,23.363188698937005,0.48762178
133,he88894,214.3048299153646,24.747212132130727,0.5566707
134,he88898,205.5556844075521,24.983055412918667,0.45864367
135,he88899,232.1037394205729,24.33806830056936,0.5235508
136,he88924,50.33008829752604,31.407475263248934,0.67648524
137,he88925,125.4398905436198,27.347168591794365,0.6626978
138,he88930,57.821075439453125,30.259011897558914,0.68264276
139,he88931,30.390472412109375,33.006654984338304,0.7021901
140,he88942,339.5814615885417,22.647468102250095,0.5275214
141,he88943,274.0747477213542,23.924827149650852,0.4429337
142,he88944,312.46044921875,23.176676478593713,0.5228197
143,he88945,326.12717692057294,22.914587495382758,0.56495863
144,he88946,199.12736002604166,25.170695418582476,0.4922751
145,he88947,226.13212076822916,24.59728329374293,0.51211697
146,he88948,150.97379557291666,26.587617328739867,0.52151364
147,he88949,144.98786417643228,26.480312954228836,0.5073855
148,he88952,202.8777872721354,25.225686775629423,0.5020165
149,he88953,214.2314453125,24.93420894714881,0.48396584
150,he88977,78.34872436523438,29.415095541002138,0.65462947
151,he88996,449.3767903645833,21.551200009124663,0.52994734
152,he88997,267.7709554036458,23.891415508363323,0.4601649
153,he89000,213.09159342447916,24.982417596731523,0.4723593
154,he89001,228.00752766927084,24.48196921494262,0.5709712
155,he89002,134.56612141927084,27.084296263602067,0.5324838
156,he89003,95.38883463541667,28.588128543560025,0.51001817
157,he89005,196.1705322265625,25.313131485482025,0.5263297
158,he89006,213.09431966145834,25.126579049580403,0.47712055
159,he89007,210.65132649739584,24.971691805084625,0.4749531
160,he89034,394.6007893880208,22.263091926191258,0.61125815
161,he89050,481.2789713541667,21.37395503595466,0.52146566
162,he89051,266.31589762369794,23.811653508487474,0.53781146
163,he89052,304.0259602864583,23.26762325283191,0.49876758
164,he89054,217.6090087890625,24.96384841661311,0.45711613
165,he89055,211.37565104166666,24.948371835442206,0.5075403
166,he89056,147.7467244466146,26.548396994738603,0.56618744
167,he89058,137.4215291341146,26.96452493736593,0.5609019
168,he89059,161.60563151041666,25.905575785488068,0.5703468
169,he89060,188.29402669270834,25.44942230361603,0.5074765
170,he89061,232.3489990234375,24.654370477998558,0.45380282
171,he89085,108.58009847005208,27.554043748867663,0.628751
172,he89090,180.81278483072916,25.453252564127776,0.6005768
173,he89104,338.0066731770833,22.876099060074853,0.50759155
174,he89105,268.09722900390625,23.868851667891615,0.5868511
175,he89107,150.69415283203125,26.42421039960176,0.40037143
176,he89108,169.79353841145834,25.973855194538018,0.4216114
177,he89109,172.36332194010416,25.820681364816814,0.39045748
178,he89110,166.57501220703125,25.91705925497426,0.46257952
179,he89111,134.5606892903646,26.92537456279996,0.5529678
180,he89112,177.38836669921875,25.685014192936634,0.49089417
181,he89113,202.32891845703125,25.053964625755757,0.4513365
182,he89115,178.1630859375,25.518529333269804,0.5073207
183,he89116,277.42730712890625,23.775138072152437,0.5143239
184,he89138,114.32442220052083,27.445871127149196,0.6634905
185,he89144,190.1512247721354,25.1665681508971,0.5676455
