,image,MSE,PSNR,SSIM
0,he84022,477.1885579427083,21.211597084769412,0.6622214
1,he84023,219.15753173828125,25.185896801190154,0.6789357
2,he84024,235.61385091145834,24.37581374062351,0.678483
3,he84025,215.1256306966146,24.984905513402772,0.66854835
4,he84027,231.07930501302084,24.393305103777113,0.6728789
5,he84028,271.52248128255206,23.80453108810581,0.6699906
6,he84029,398.8356119791667,21.978589383181145,0.670896
7,he84053,111.96510823567708,27.30407386993538,0.70457953
8,he84054,69.24587504069011,29.837574443471347,0.6887669
9,he84063,352.8702799479167,22.620610955617956,0.69413286
10,he84064,291.65419514973956,23.395892031264445,0.6854069
11,he84065,247.7315673828125,24.4499522184848,0.6777974
12,he84066,152.2261759440104,26.453142580168425,0.68107456
13,he84067,126.34889729817708,27.127802970451906,0.6987493
14,he84068,151.72342936197916,26.37653306366049,0.71578354
15,he84071,370.0146891276042,22.557116648099324,0.6743191
16,he84092,210.57527669270834,24.793267314912537,0.6869736
17,he84093,111.69747924804688,28.253891234113734,0.7135572
18,he84094,256.2002766927083,24.140906630501547,0.7149682
19,he84095,162.6142781575521,26.152248083242725,0.68079305
20,he84096,49.239166259765625,31.50838898706916,0.68852276
21,he84104,267.1635335286458,23.68348874769837,0.7030917
22,he84105,407.1311442057292,22.05544579918401,0.68263125
23,he84106,254.41145833333334,24.24971713692451,0.69812983
24,he84107,180.6496785481771,25.847237992702876,0.67980736
25,he84108,165.92669677734375,25.934486661737708,0.674293
26,he84109,215.23309326171875,24.578485485336078,0.6888984
27,he84110,192.56486002604166,25.221198337194913,0.68524355
28,he84111,245.37361653645834,24.555342861662773,0.70388675
29,he84112,208.97705078125,25.254473740463915,0.69509053
30,he84113,371.464599609375,22.547736486271784,0.71024936
31,he84136,179.2171427408854,25.6130895643604,0.75116056
32,he84137,99.33327229817708,29.047506906935524,0.7237916
33,he84147,308.0743408203125,23.246964223642156,0.72238463
34,he84148,107.15615844726562,28.298572919009576,0.7045102
35,he84150,97.50963338216145,28.061221572139708,0.7039259
36,he84152,329.387451171875,23.02450969324226,0.69617194
37,he84153,383.2096354166667,22.354286004166724,0.6859949
38,he84154,318.9986979166667,23.29220938620505,0.66167516
39,he8415,449.9996337890625,21.588815440827904,0.34229895
40,he8416,317.30690511067706,23.388031700131215,0.5002124
41,he8417,353.6833089192708,22.86189830614291,0.58376473
42,he84189,151.01106770833334,26.679481973235077,0.6636707
43,he8418,340.2834065755208,22.900745850066514,0.5677476
44,he84192,93.29539998372395,28.633266278121194,0.7019376
45,he84193,195.51045735677084,25.262640339442246,0.65100485
46,he84194,331.29335530598956,23.069521671001972,0.6892707
47,he84195,272.8493245442708,23.704658277483908,0.68248725
48,he84196,266.71482340494794,24.01860759301662,0.682947
49,he8419,479.673095703125,21.161318566682574,0.5136995
50,he8420,321.82566324869794,23.183123284923745,0.6843939
51,he8421,273.36517333984375,23.877550046856115,0.666444
52,he84230,209.8089803059896,25.073279595055705,0.703656
53,he84231,365.1976725260417,22.324037614770155,0.697553
54,he84232,228.18623860677084,24.684312469006436,0.6537783
55,he84236,203.43245442708334,25.07192125472556,0.66870564
56,he84237,199.79435221354166,25.061666317727994,0.65498376
57,he84238,320.43701171875,23.1237783846801,0.6661346
58,he84271,174.8749796549479,25.38830768205072,0.70235926
59,he84272,183.19038899739584,25.63690148437371,0.7108844
60,he84273,436.1167399088542,21.827800434665143,0.71011525
61,he84274,141.1290283203125,27.18744684401747,0.72249174
62,he84279,212.15924072265625,24.75200082478863,0.6759259
63,he84280,220.96173095703125,24.439733779990938,0.6411447
64,he84313,151.3478800455729,26.35519423895483,0.63681966
65,he84315,381.4095865885417,22.077644949122224,0.6444242
66,he84316,293.38820393880206,23.330474380900196,0.65378916
67,he84317,251.045166015625,24.00167836364357,0.70730036
68,he84319,295.89967854817706,23.48247928513128,0.65540224
69,he84359,99.52218627929688,27.993101451640353,0.6991212
70,he84360,351.2522379557292,22.452490362563363,0.6625869
71,he8473,272.8507893880208,23.63337911294647,0.48652792
72,he8474,365.9495849609375,22.597445200158596,0.46234968
73,he8475,482.5968424479167,21.16685786332912,0.5039941
74,he8476,407.5575358072917,22.06907494992937,0.5418096
75,he8477,320.4355061848958,23.16572585216069,0.5880558
76,he8478,287.5403238932292,23.46704941068319,0.583049
77,he852,21.337753295898438,35.453370436110475,0.6644517
78,he8533,400.7018229166667,22.17022065218469,0.5290205
79,he8534,299.24151611328125,23.468148175362316,0.51548237
80,he8535,259.7397867838542,23.942716817498642,0.50404936
81,he856,104.12013753255208,27.782386688410014,0.7225353
82,he857,41.34275817871094,32.87723513634309,0.7145489
83,he858,127.61122639973958,27.22084113877717,0.65994483
84,he88732,136.4394327799479,26.63370577731749,0.64888936
85,he88733,186.25640869140625,25.531483402631654,0.5111126
86,he88734,110.70595296223958,27.96713526938586,0.56293565
87,he88735,180.76165771484375,25.616497929106025,0.62120515
88,he88752,288.1981608072917,23.351514312628403,0.76791984
89,he88753,251.98870849609375,23.821694191324802,0.7459293
90,he88754,229.6087849934896,24.740679361485928,0.7318223
91,he88755,257.5206298828125,24.115443072311233,0.72484225
92,he88756,192.93949381510416,25.00494840246375,0.75714153
93,he88761,209.6103719075521,24.86366248969423,0.7361667
94,he88762,35.005279541015625,32.55126739794572,0.7434449
95,he88764,173.52947998046875,25.701104411102325,0.7284259
96,he88765,210.2326456705729,24.94977649158812,0.7374765
97,he88766,176.59259033203125,25.995850180571157,0.76311284
98,he88767,87.92786661783855,28.508751871481458,0.7585771
99,he88768,58.79515075683594,30.221189943441402,0.75165206
100,he88769,29.88330586751302,33.82011067915526,0.7866938
101,he88785,192.78643798828125,25.28888636538335,0.55438596
102,he88786,157.15958658854166,26.267543223025083,0.6022331
103,he88787,151.11280314127603,26.534907453714645,0.600239
104,he88788,192.66984049479166,25.194651841144044,0.5615378
105,he88790,210.0870157877604,24.940176878632094,0.6100607
106,he887,17.575846354166668,36.20402149117714,0.74936146
107,he88806,227.2596435546875,24.324026492032417,0.725708
108,he88807,186.23797607421875,25.313646218128838,0.7354326
109,he88809,251.389404296875,24.038045364455826,0.73287916
110,he88816,33.74193827311198,33.530120104335516,0.72597224
111,he88817,157.83690388997397,25.989038275789305,0.72969294
112,he88822,59.12981669108073,30.268193448250088,0.67858076
113,he88823,31.945449829101562,33.069827998656216,0.7297826
114,he88824,35.917816162109375,32.57612581106268,0.78132683
115,he88830,182.0399169921875,25.41943645889775,0.6254744
116,he88831,224.91951497395834,24.697341927748266,0.69460446
117,he88838,174.14363606770834,25.493083105269385,0.5668151
118,he88841,187.4200236002604,25.14923790706543,0.6077077
119,he88842,150.141357421875,26.560470570740556,0.6344052
120,he88843,128.40738932291666,27.011316635296687,0.63946337
121,he88844,174.57145182291666,25.866436985190823,0.5707411
122,he88861,207.40130615234375,25.029713782597,0.7166963
123,he88862,149.5187784830729,26.358523702404085,0.71495944
124,he88870,91.22459920247395,28.577985399098726,0.7338474
125,he88871,107.79435221354167,27.851592948208854,0.7065444
126,he88872,22.013417561848957,34.841874987831744,0.7553949
127,he88875,30.133941650390625,33.47829146396043,0.718386
128,he88876,31.661427815755207,32.901685325092906,0.72655135
129,he88884,193.79976399739584,25.0053049348325,0.68447185
130,he88885,245.44144694010416,23.954059827958503,0.6646063
131,he88892,187.20145670572916,25.445254406053074,0.57353073
132,he88893,257.80218505859375,23.92361159950027,0.5421595
133,he88894,183.03271484375,25.428555472913736,0.6177915
134,he88898,169.7074991861979,25.854079628391414,0.53813297
135,he88899,199.1783447265625,24.97566800993529,0.58796877
136,he88924,40.619547526041664,32.29651837596091,0.7242603
137,he88925,93.42620849609375,28.6065714434481,0.7206661
138,he88930,44.671061197916664,31.393944121941644,0.7776882
139,he88931,22.48748270670573,34.335713689304285,0.7755466
140,he88942,302.32883707682294,23.18077218003236,0.5834526
141,he88943,241.00874837239584,24.478002275497875,0.50390404
142,he88944,274.9822591145833,23.74045517654094,0.57444084
143,he88945,290.680908203125,23.42252774274653,0.62927026
144,he88946,177.6374308268229,25.645141194041532,0.5598046
145,he88947,196.48807779947916,25.224635245954616,0.5748997
146,he88948,128.0743611653646,27.300179852374306,0.6054668
147,he88949,120.06722005208333,27.30069545923555,0.5975477
148,he88952,167.52568562825522,26.080920581521152,0.5751893
149,he88953,181.6392618815104,25.63251589136368,0.5422113
150,he88977,63.75079854329427,30.286161592427696,0.7334099
151,he88996,397.528076171875,22.071768480020616,0.5811367
152,he88997,236.639404296875,24.404688584074208,0.52301174
153,he89000,189.53597005208334,25.455416266022738,0.5269224
154,he89001,192.47489420572916,25.206039026465117,0.6389988
155,he89002,122.10809326171875,27.561583324875215,0.6067536
156,he89003,79.06566365559895,29.443176065790183,0.58972
157,he89005,165.24422200520834,26.042536068040615,0.598961
158,he89006,179.83341471354166,25.8770091164859,0.5374442
159,he89007,188.1151326497396,25.402049633794142,0.5469016
160,he89034,305.10711669921875,23.29717105608253,0.688077
161,he89050,428.786376953125,21.88707104834801,0.5735506
162,he89051,236.9188028971354,24.319723341148052,0.6188362
163,he89052,271.0905354817708,23.79287144581867,0.5640665
164,he89054,195.78792317708334,25.37573620973109,0.51208156
165,he89055,185.1275838216146,25.499972874759248,0.5682277
166,he89056,127.2242431640625,27.19112681504026,0.6332872
167,he89058,108.33280436197917,27.92528839450644,0.6396792
168,he89059,132.04227701822916,26.798799413870977,0.638443
169,he89060,160.85955810546875,26.15879121304962,0.575692
170,he89061,187.77520751953125,25.547705015527974,0.51668763
171,he89085,88.236083984375,28.421284402607405,0.7150588
172,he89090,143.36365763346353,26.45960928753649,0.69249564
173,he89104,291.32566324869794,23.50631910755384,0.5877146
174,he89105,229.0900675455729,24.534833933442314,0.66958064
175,he89107,137.79322306315103,26.766634753824867,0.45165217
176,he89108,145.28495279947916,26.643800469311213,0.49391866
177,he89109,153.4990030924479,26.301062386577875,0.46095958
178,he89110,141.7011515299479,26.635765298185838,0.53896475
179,he89111,116.38033040364583,27.56952499834891,0.61753345
180,he89112,148.25450642903647,26.44805809297935,0.5618892
181,he89113,170.46256510416666,25.784219369264218,0.5138008
182,he89115,152.0644327799479,26.194425731886707,0.56924504
183,he89116,239.54923502604166,24.368294927568126,0.5844484
184,he89138,95.123779296875,28.213005222787643,0.73852473
185,he89144,164.96822102864584,25.77948239154312,0.63460004
186,he89160,284.9370524088542,23.327204973102155,0.71935683
187,he89161,143.21600341796875,26.89230762756182,0.51871186
188,he89162,92.0889180501302,28.688525567213507,0.34983742
189,he89163,144.32842000325522,26.47772615884491,0.47772238
190,he89164,125.81203206380208,27.23460673074619,0.48371497
191,he89165,133.12600708007812,27.093396774309998,0.5596439
192,he89166,148.34565226236978,26.523284487231038,0.57937664
193,he89167,147.0184326171875,26.621098552879182,0.62520254
194,he89170,257.8634440104167,24.008511596132394,0.58870023
195,he89192,97.02349853515625,28.434679071730056,0.76288843
196,he89194,223.3290812174479,24.479875934797533,0.610454
197,he89196,263.6850992838542,23.67196496605171,0.6329408
198,he89197,319.0133056640625,23.107900497471583,0.58631235
199,he89198,208.8531697591146,25.127873278922372,0.59409755
200,he89215,97.70547485351562,28.615907930869234,0.7184574
201,he89216,188.82234700520834,25.187452441918982,0.59293157
202,he89217,134.4487508138021,26.807197464199884,0.48372516
203,he89218,172.8729248046875,25.718437636717454,0.46352687
204,he89219,158.36083984375,26.134360378167795,0.5235938
205,he89220,134.639404296875,26.83223100283287,0.43329036
206,he89221,162.57171630859375,26.040141148271367,0.47736335
207,he89222,116.28633626302083,27.328522925720733,0.560598
208,he89224,314.66835530598956,23.367719153243478,0.65050054
209,he89247,170.5316365559896,26.459671978202447,0.67184275
