,image,criterion,thresh,fp,tp,fn,precision,recall,accuracy,f1,n_true,n_pred,mean_true_score,mean_matched_score,panoptic_quality
0,he84022,iou,0.5,53,29,101,0.35365853658536583,0.2230769230769231,0.15846994535519127,0.27358490566037735,130,82,0.1508423585158128,0.6761898830019194,0.18499534534958173
1,he84023,iou,0.5,27,10,51,0.2702702702702703,0.16393442622950818,0.11363636363636363,0.20408163265306123,61,37,0.10415102223880955,0.6353212356567383,0.1296573950319874
2,he84024,iou,0.5,53,13,59,0.19696969696969696,0.18055555555555555,0.104,0.18840579710144928,72,66,0.12333186467488606,0.6830687889685998,0.12869411966075067
3,he84025,iou,0.5,39,3,24,0.07142857142857142,0.1111111111111111,0.045454545454545456,0.08695652173913043,27,42,0.06117496667084871,0.5505747000376383,0.04787606087283812
4,he84027,iou,0.5,54,4,21,0.06896551724137931,0.16,0.05063291139240506,0.0963855421686747,25,58,0.10611787796020508,0.6632367372512817,0.06392643250614764
5,he84028,iou,0.5,37,17,51,0.3148148148148148,0.25,0.1619047619047619,0.2786885245901639,68,54,0.1537501110750086,0.6150004443000344,0.1713935664442719
6,he84029,iou,0.5,49,26,46,0.3466666666666667,0.3611111111111111,0.21487603305785125,0.35374149659863946,72,75,0.2290627426571316,0.6343275950505183,0.22438799280698607
7,he84053,iou,0.5,10,7,19,0.4117647058823529,0.2692307692307692,0.19444444444444445,0.32558139534883723,26,17,0.18599607394291803,0.6908425603594098,0.22492548476817997
8,he84054,iou,0.5,8,2,14,0.2,0.125,0.08333333333333333,0.15384615384615385,16,10,0.06976629793643951,0.5581303834915161,0.08586621284484863
9,he84063,iou,0.5,42,37,79,0.46835443037974683,0.31896551724137934,0.23417721518987342,0.37948717948717947,116,79,0.21736404813569168,0.6814656644254118,0.25860748291015623
10,he84064,iou,0.5,37,13,60,0.26,0.1780821917808219,0.11818181818181818,0.21138211382113822,73,50,0.11396499529276809,0.63995728125939,0.13527552286783853
11,he84065,iou,0.5,37,15,51,0.28846153846153844,0.22727272727272727,0.14563106796116504,0.2542372881355932,66,52,0.1406260837208141,0.618754768371582,0.15731053433175815
12,he84066,iou,0.5,24,7,38,0.22580645161290322,0.15555555555555556,0.10144927536231885,0.18421052631578946,45,31,0.10202842288547093,0.6558970042637416,0.12082313236437346
13,he84067,iou,0.5,29,4,16,0.12121212121212122,0.2,0.08163265306122448,0.1509433962264151,20,33,0.12192718982696533,0.6096359491348267,0.09202052062412477
14,he84068,iou,0.5,22,8,26,0.26666666666666666,0.23529411764705882,0.14285714285714285,0.25,34,30,0.18018413992489085,0.7657825946807861,0.19144564867019653
15,he84071,iou,0.5,44,25,70,0.36231884057971014,0.2631578947368421,0.17985611510791366,0.3048780487804878,95,69,0.1741931915283203,0.6619341278076172,0.20180918530720035
16,he84092,iou,0.5,10,2,20,0.16666666666666666,0.09090909090909091,0.0625,0.11764705882352941,22,12,0.06771210106936368,0.7448331117630005,0.08762742491329417
17,he84093,iou,0.5,11,6,35,0.35294117647058826,0.14634146341463414,0.11538461538461539,0.20689655172413793,41,17,0.08930001607755335,0.6102167765299479,0.1262517468682651
18,he84094,iou,0.5,28,38,63,0.5757575757575758,0.37623762376237624,0.29457364341085274,0.4550898203592814,101,66,0.24510459144516747,0.6514622035779452,0.29647381719714866
19,he84095,iou,0.5,18,27,47,0.6,0.36486486486486486,0.29347826086956524,0.453781512605042,74,45,0.23781992938067462,0.6518027694137009,0.2957760466247046
20,he84096,iou,0.5,3,0,12,0.0,0.0,0.0,0.0,12,3,0.0,0.0,0.0
21,he84104,iou,0.5,30,73,106,0.7087378640776699,0.40782122905027934,0.3492822966507177,0.5177304964539007,179,103,0.2639390103643833,0.6471929158249946,0.33507150961152204
22,he84105,iou,0.5,52,44,108,0.4583333333333333,0.2894736842105263,0.21568627450980393,0.3548387096774194,152,96,0.1933710449620297,0.6680090644142844,0.2370354744695848
23,he84106,iou,0.5,36,32,71,0.47058823529411764,0.3106796116504854,0.2302158273381295,0.3742690058479532,103,68,0.20211332747079794,0.6505522727966309,0.24348155239172148
24,he84107,iou,0.5,21,22,57,0.5116279069767442,0.27848101265822783,0.22,0.36065573770491804,79,43,0.19331510761116125,0.6941769773309882,0.25035890985707765
25,he84108,iou,0.5,24,18,46,0.42857142857142855,0.28125,0.20454545454545456,0.33962264150943394,64,42,0.19565202295780182,0.6956516371832954,0.23625904659055313
26,he84109,iou,0.5,19,18,27,0.4864864864864865,0.4,0.28125,0.43902439024390244,45,37,0.26861531999376087,0.6715382999844022,0.294821692676079
27,he84110,iou,0.5,24,7,40,0.22580645161290322,0.14893617021276595,0.09859154929577464,0.1794871794871795,47,31,0.08999508999763652,0.604252747126988,0.10845562127920297
28,he84111,iou,0.5,24,13,47,0.35135135135135137,0.21666666666666667,0.15476190476190477,0.26804123711340205,60,37,0.14537199338277182,0.6709476617666391,0.1798416412982744
29,he84112,iou,0.5,22,32,42,0.5925925925925926,0.43243243243243246,0.3333333333333333,0.5,74,54,0.29896179405418605,0.6913491487503052,0.3456745743751526
30,he84113,iou,0.5,23,48,83,0.676056338028169,0.366412213740458,0.3116883116883117,0.4752475247524752,131,71,0.23570822213442272,0.6432870229085287,0.30572056534266706
31,he84136,iou,0.5,19,27,68,0.5869565217391305,0.28421052631578947,0.23684210526315788,0.3829787234042553,95,46,0.18725800765188116,0.6588707676640263,0.2523334854883505
32,he84137,iou,0.5,4,7,17,0.6363636363636364,0.2916666666666667,0.25,0.4,24,11,0.19549957911173502,0.6702842712402344,0.26811370849609373
33,he84147,iou,0.5,32,63,109,0.6631578947368421,0.36627906976744184,0.3088235294117647,0.47191011235955055,172,95,0.24194049835205078,0.6605359637548053,0.31171360087305416
34,he84148,iou,0.5,17,9,45,0.34615384615384615,0.16666666666666666,0.1267605633802817,0.225,54,26,0.11652902320579246,0.6991741392347548,0.15731418132781982
35,he84150,iou,0.5,7,10,40,0.5882352941176471,0.2,0.17543859649122806,0.29850746268656714,50,17,0.1339639186859131,0.6698195934295654,0.1999461472924076
36,he84152,iou,0.5,29,25,90,0.46296296296296297,0.21739130434782608,0.1736111111111111,0.2958579881656805,115,54,0.1377472504325535,0.6336373519897461,0.1874666721863154
37,he84153,iou,0.5,44,34,68,0.4358974358974359,0.3333333333333333,0.2328767123287671,0.37777777777777777,102,78,0.2165501912434896,0.6496505737304688,0.24542355007595487
38,he84154,iou,0.5,27,22,79,0.4489795918367347,0.21782178217821782,0.171875,0.29333333333333333,101,49,0.14776934255467783,0.67839561809193,0.19899604797363282
39,he8415,iou,0.5,14,11,68,0.44,0.13924050632911392,0.11827956989247312,0.21153846153846154,79,25,0.08657785005207304,0.6217863776467063,0.1315317337329571
40,he8416,iou,0.5,5,17,101,0.7727272727272727,0.1440677966101695,0.13821138211382114,0.24285714285714285,118,22,0.09724311505333852,0.674981622134938,0.16392410823277065
41,he8417,iou,0.5,13,32,107,0.7111111111111111,0.2302158273381295,0.21052631578947367,0.34782608695652173,139,45,0.15440876363850325,0.6707130670547485,0.23329150158426035
42,he84189,iou,0.5,15,24,36,0.6153846153846154,0.4,0.32,0.48484848484848486,60,39,0.2727809906005859,0.6819524765014648,0.3306436249704072
43,he8418,iou,0.5,7,27,188,0.7941176470588235,0.12558139534883722,0.12162162162162163,0.21686746987951808,215,34,0.08415426209915516,0.6701172722710503,0.14532663735998683
