,image,criterion,thresh,fp,tp,fn,precision,recall,accuracy,f1,n_true,n_pred,mean_true_score,mean_matched_score,panoptic_quality
0,he84022,iou,0.5,101,38,92,0.2733812949640288,0.2923076923076923,0.1645021645021645,0.2825278810408922,130,139,0.20372513991135818,0.6969544260125411,0.19690905716339452
1,he84023,iou,0.5,45,29,32,0.3918918918918919,0.47540983606557374,0.27358490566037735,0.42962962962962964,61,74,0.33237519811411376,0.6991340374124462,0.30036869755497686
2,he84024,iou,0.5,36,24,48,0.4,0.3333333333333333,0.2222222222222222,0.36363636363636365,72,60,0.24007927046881783,0.7202378114064535,0.2619046586932558
3,he84025,iou,0.5,25,12,15,0.32432432432432434,0.4444444444444444,0.23076923076923078,0.375,27,37,0.3328234001442238,0.7488526503245035,0.28081974387168884
4,he84027,iou,0.5,31,15,10,0.32608695652173914,0.6,0.26785714285714285,0.4225352112676056,25,46,0.4002825164794922,0.6671375274658203,0.28188909611231844
5,he84028,iou,0.5,53,26,42,0.3291139240506329,0.38235294117647056,0.21487603305785125,0.35374149659863946,68,79,0.26802486531874714,0.7009881092951848,0.24796858287992932
6,he84029,iou,0.5,68,40,32,0.37037037037037035,0.5555555555555556,0.2857142857142857,0.4444444444444444,72,108,0.39384788937038845,0.7089262008666992,0.31507831149631077
7,he84053,iou,0.5,15,16,10,0.5161290322580645,0.6153846153846154,0.3902439024390244,0.5614035087719298,26,31,0.4926017247713529,0.8004778027534485,0.44939104715983075
8,he84054,iou,0.5,10,9,7,0.47368421052631576,0.5625,0.34615384615384615,0.5142857142857142,16,19,0.36882853507995605,0.6556951734754775,0.33721466064453126
9,he84063,iou,0.5,64,51,65,0.4434782608695652,0.4396551724137931,0.2833333333333333,0.44155844155844154,116,115,0.3195860632534685,0.7269016340667126,0.3209695527047822
10,he84064,iou,0.5,58,15,58,0.2054794520547945,0.2054794520547945,0.11450381679389313,0.2054794520547945,73,73,0.15050911576780554,0.7324776967366536,0.15050911576780554
11,he84065,iou,0.5,53,29,37,0.35365853658536583,0.4393939393939394,0.24369747899159663,0.3918918918918919,66,82,0.30261213129216974,0.6887034712166622,0.2698973062876108
12,he84066,iou,0.5,11,12,33,0.5217391304347826,0.26666666666666666,0.21428571428571427,0.35294117647058826,45,23,0.2132178200615777,0.7995668252309164,0.28220005596385284
13,he84067,iou,0.5,5,13,7,0.7222222222222222,0.65,0.52,0.6842105263157895,20,18,0.49131269454956056,0.7558656839224008,0.51717125742059
14,he84068,iou,0.5,23,15,19,0.39473684210526316,0.4411764705882353,0.2631578947368421,0.4166666666666667,34,38,0.32528024561264934,0.7373018900553385,0.30720912085639107
15,he84071,iou,0.5,75,44,51,0.3697478991596639,0.4631578947368421,0.25882352941176473,0.411214953271028,95,119,0.31415933307848476,0.6782985600558195,0.2789265106771594
