,image,criterion,thresh,fp,tp,fn,precision,recall,accuracy,f1,n_true,n_pred,mean_true_score,mean_matched_score,panoptic_quality
0,he84022,iou,0.5,219,92,38,0.2958199356913183,0.7076923076923077,0.2636103151862464,0.41723356009070295,130,311,0.5354953472430889,0.7566782080608866,0.31571154259229733
1,he84023,iou,0.5,76,43,18,0.36134453781512604,0.7049180327868853,0.31386861313868614,0.4777777777777778,61,119,0.5245875061535444,0.7441822761713073,0.3555537541707357
2,he84024,iou,0.5,95,49,23,0.3402777777777778,0.6805555555555556,0.2934131736526946,0.4537037037037037,72,144,0.50548341539171,0.7427511409837373,0.3369889435944734
3,he84025,iou,0.5,72,17,10,0.19101123595505617,0.6296296296296297,0.1717171717171717,0.29310344827586204,27,89,0.49288562492088034,0.7828183454625747,0.22944675642868567
4,he84027,iou,0.5,96,19,6,0.16521739130434782,0.76,0.15702479338842976,0.2714285714285714,25,115,0.555600357055664,0.7310531013890317,0.19842869894845144
5,he84028,iou,0.5,102,46,22,0.3108108108108108,0.6764705882352942,0.27058823529411763,0.42592592592592593,68,148,0.5125063727883732,0.757618116295856,0.3226891976815683
6,he84029,iou,0.5,137,52,20,0.2751322751322751,0.7222222222222222,0.24880382775119617,0.39846743295019155,72,189,0.5055435498555502,0.6999833767230694,0.27892057923064834
7,he84053,iou,0.5,17,20,6,0.5405405405405406,0.7692307692307693,0.46511627906976744,0.6349206349206349,26,37,0.6149039635291467,0.7993751525878906,0.5075397794208829
8,he84054,iou,0.5,3,7,9,0.7,0.4375,0.3684210526315789,0.5384615384615384,16,10,0.31186240911483765,0.7128283636910575,0.38383065737210786
9,he84063,iou,0.5,146,100,16,0.4065040650406504,0.8620689655172413,0.3816793893129771,0.5524861878453039,116,246,0.628317536978886,0.7288483428955078,0.402678642483706
10,he84064,iou,0.5,119,42,31,0.2608695652173913,0.5753424657534246,0.21875,0.358974358974359,73,161,0.40941909894551315,0.7116093862624395,0.25544952327369624
